shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil,723
turkey,fresh tuna,frozen vegetables,tomatoes,ground beef,spaghetti,mineral water,chocolate,soup,milk,olive oil,,,,,,,,,,402
eggs,cookies,,,,,,,,,,,,,,,,,,,854
soup,chicken,gums,soda,body spray,energy drink,green tea,,,,,,,,,,,,,,176
turkey,frozen vegetables,mineral water,cider,cooking oil,green tea,,,,,,,,,,,,,,,713
spaghetti,,,,,,,,,,,,,,,,,,,,217
clothes accessories,,,,,,,,,,,,,,,,,,,,751
energy drink,,,,,,,,,,,,,,,,,,,,945
soup,bug spray,shallot,protein bar,green tea,,,,,,,,,,,,,,,,931
turkey,eggs,,,,,,,,,,,,,,,,,,,236
french fries,,,,,,,,,,,,,,,,,,,,755
chocolate,milk,,,,,,,,,,,,,,,,,,,40
herb & pepper,whole wheat pasta,ground beef,mineral water,avocado,cider,whole wheat rice,,,,,,,,,,,,,,753
cookies,,,,,,,,,,,,,,,,,,,,989
shrimp,pasta,,,,,,,,,,,,,,,,,,,929
grated cheese,herb & pepper,tomatoes,tomato sauce,corn,,,,,,,,,,,,,,,,508
burgers,escalope,shallot,,,,,,,,,,,,,,,,,,99
cookies,,,,,,,,,,,,,,,,,,,,867
yogurt cake,,,,,,,,,,,,,,,,,,,,581
soup,eggs,,,,,,,,,,,,,,,,,,,337
cookies,,,,,,,,,,,,,,,,,,,,462
mineral water,chocolate,low fat yogurt,,,,,,,,,,,,,,,,,,732
eggs,strawberries,,,,,,,,,,,,,,,,,,,810
grated cheese,ground beef,spaghetti,mineral water,white wine,,,,,,,,,,,,,,,,274
mint,,,,,,,,,,,,,,,,,,,,738
eggs,cake,french fries,,,,,,,,,,,,,,,,,,504
burgers,spaghetti,milk,french fries,green tea,,,,,,,,,,,,,,,,135
mineral water,energy bar,butter,french fries,,,,,,,,,,,,,,,,,331
burgers,grated cheese,herb & pepper,mineral water,eggs,cooking oil,,,,,,,,,,,,,,,707
energy bar,,,,,,,,,,,,,,,,,,,,636
energy bar,energy drink,,,,,,,,,,,,,,,,,,,74
chocolate,frozen smoothie,,,,,,,,,,,,,,,,,,,953
low fat yogurt,,,,,,,,,,,,,,,,,,,,846
asparagus,salad,,,,,,,,,,,,,,,,,,,138
burgers,french fries,low fat yogurt,green tea,,,,,,,,,,,,,,,,,987
low fat yogurt,,,,,,,,,,,,,,,,,,,,847
burgers,herb & pepper,shrimp,pasta,spaghetti,mineral water,meatballs,olive oil,energy bar,french wine,eggs,salt,,,,,,,,,180
champagne,low fat yogurt,,,,,,,,,,,,,,,,,,,925
champagne,,,,,,,,,,,,,,,,,,,,230
burgers,almonds,eggs,french fries,cookies,green tea,,,,,,,,,,,,,,,459
ham,soup,escalope,body spray,,,,,,,,,,,,,,,,,727
turkey,ham,frozen vegetables,pepper,oil,extra dark chocolate,tea,magazines,,,,,,,,,,,,,465
muffins,eggs,cookies,,,,,,,,,,,,,,,,,,935
cookies,,,,,,,,,,,,,,,,,,,,691
frozen vegetables,whole wheat pasta,ground beef,spaghetti,chocolate,green tea,,,,,,,,,,,,,,,315
mineral water,barbecue sauce,chocolate,,,,,,,,,,,,,,,,,,249
burgers,herb & pepper,energy bar,almonds,eggs,corn,mayonnaise,zucchini,,,,,,,,,,,,,573
turkey,burgers,ground beef,chocolate,soup,almonds,eggs,hot dogs,cottage cheese,,,,,,,,,,,,533
ham,spaghetti,chocolate,eggs,,,,,,,,,,,,,,,,,315
ground beef,energy bar,pet food,carrots,protein bar,,,,,,,,,,,,,,,,724
ground beef,tomato sauce,spaghetti,mineral water,almonds,eggs,,,,,,,,,,,,,,,309
mineral water,olive oil,gums,cooking oil,,,,,,,,,,,,,,,,,278
shrimp,pasta,mineral water,soup,avocado,milk,olive oil,green grapes,eggs,bug spray,,,,,,,,,,,521
shrimp,pasta,soup,cake,cooking oil,chicken,light mayo,low fat yogurt,,,,,,,,,,,,,571
spaghetti,mineral water,chocolate,french fries,champagne,escalope,mushroom cream sauce,fresh bread,,,,,,,,,,,,,439
shrimp,pasta,mineral water,eggs,,,,,,,,,,,,,,,,,267
burgers,oil,tomato juice,fresh bread,,,,,,,,,,,,,,,,,515
french wine,eggs,chocolate,low fat yogurt,,,,,,,,,,,,,,,,,888
chicken,eggs,french fries,pancakes,,,,,,,,,,,,,,,,,866
turkey,herb & pepper,salmon,white wine,candy bars,,,,,,,,,,,,,,,,755
grated cheese,spaghetti,olive oil,eggs,french fries,green tea,,,,,,,,,,,,,,,732
mineral water,energy bar,,,,,,,,,,,,,,,,,,,900
eggs,french fries,,,,,,,,,,,,,,,,,,,185
burgers,tomatoes,mineral water,soup,milk,almonds,eggs,chocolate,tomato juice,,,,,,,,,,,,809
muffins,,,,,,,,,,,,,,,,,,,,241
pasta,,,,,,,,,,,,,,,,,,,,855
tomatoes,spaghetti,frozen smoothie,,,,,,,,,,,,,,,,,,248
ground beef,spaghetti,milk,,,,,,,,,,,,,,,,,,397
french fries,,,,,,,,,,,,,,,,,,,,285
chocolate,milk,,,,,,,,,,,,,,,,,,,286
burgers,shrimp,pasta,frozen vegetables,spaghetti,mineral water,milk,eggs,chocolate,french fries,pancakes,low fat yogurt,,,,,,,,,152
ground beef,mineral water,antioxydant juice,protein bar,,,,,,,,,,,,,,,,,281
grated cheese,whole wheat pasta,ground beef,spaghetti,cake,energy drink,,,,,,,,,,,,,,,77
grated cheese,,,,,,,,,,,,,,,,,,,,893
pancakes,,,,,,,,,,,,,,,,,,,,895
frozen smoothie,,,,,,,,,,,,,,,,,,,,129
carrots,green tea,,,,,,,,,,,,,,,,,,,860
chocolate,,,,,,,,,,,,,,,,,,,,736
turkey,burgers,chocolate,olive oil,eggs,cooking oil,corn,,,,,,,,,,,,,,365
frozen vegetables,tomatoes,pepper,spaghetti,mineral water,pancakes,chicken,chili,tea,french fries,tomato juice,fresh bread,,,,,,,,,927
cookies,,,,,,,,,,,,,,,,,,,,982
ground beef,,,,,,,,,,,,,,,,,,,,604
turkey,eggs,chocolate,frozen smoothie,tomato juice,,,,,,,,,,,,,,,,696
frozen vegetables,cooking oil,mashed potato,,,,,,,,,,,,,,,,,,871
frozen vegetables,ground beef,tomato sauce,mineral water,meatballs,olive oil,light cream,tomato juice,,,,,,,,,,,,,873
red wine,spaghetti,mineral water,soup,milk,eggs,cake,gums,cooking oil,chocolate,frozen smoothie,,,,,,,,,,65
chocolate,tomatoes,spaghetti,mineral water,avocado,milk,olive oil,eggs,rice,french fries,brownies,,,,,,,,,,270
chocolate,shrimp,pasta,frozen vegetables,ground beef,mineral water,nonfat milk,eggs,,,,,,,,,,,,,641
turkey,shrimp,pasta,pepper,spaghetti,mineral water,eggs,chicken,french fries,,,,,,,,,,,,557
cookies,,,,,,,,,,,,,,,,,,,,156
turkey,tomatoes,cake,,,,,,,,,,,,,,,,,,146
yams,mineral water,soup,milk,pancakes,whole wheat rice,barbecue sauce,carrots,chocolate,champagne,,,,,,,,,,,530
rice,,,,,,,,,,,,,,,,,,,,823
chocolate,milk,,,,,,,,,,,,,,,,,,,388
shrimp,pasta,frozen vegetables,water spray,,,,,,,,,,,,,,,,,576
burgers,mineral water,milk,eggs,whole wheat rice,mint,,,,,,,,,,,,,,,106
mineral water,vegetables mix,cake,frozen smoothie,brownies,,,,,,,,,,,,,,,,919
cookies,,,,,,,,,,,,,,,,,,,,826
shrimp,pasta,chicken,chocolate bread,,,,,,,,,,,,,,,,,131
shallot,,,,,,,,,,,,,,,,,,,,696
shrimp,pasta,spaghetti,eggs,hot dogs,green tea,,,,,,,,,,,,,,,125
burgers,,,,,,,,,,,,,,,,,,,,81
red wine,ground beef,spaghetti,mineral water,milk,olive oil,strong cheese,light cream,cooking oil,,,,,,,,,,,,676
burgers,grated cheese,spaghetti,avocado,milk,oil,french fries,,,,,,,,,,,,,,531
herb & pepper,whole wheat pasta,ground beef,mineral water,olive oil,,,,,,,,,,,,,,,,221
shrimp,pasta,yams,milk,chocolate,,,,,,,,,,,,,,,,259
butter,green tea,,,,,,,,,,,,,,,,,,,199
light mayo,,,,,,,,,,,,,,,,,,,,6
low fat yogurt,,,,,,,,,,,,,,,,,,,,743
herb & pepper,shrimp,pasta,spaghetti,milk,,,,,,,,,,,,,,,,521
burgers,eggs,,,,,,,,,,,,,,,,,,,451
turkey,herb & pepper,ground beef,soup,avocado,milk,black tea,eggs,barbecue sauce,carrots,cookies,tomato juice,fresh bread,,,,,,,,932
cookies,,,,,,,,,,,,,,,,,,,,216
escalope,,,,,,,,,,,,,,,,,,,,868
pepper,french fries,strawberries,pancakes,low fat yogurt,,,,,,,,,,,,,,,,1
frozen vegetables,yams,chicken,honey,light mayo,,,,,,,,,,,,,,,,131
chocolate,champagne,,,,,,,,,,,,,,,,,,,28
herb & pepper,honey,cake,rice,protein bar,,,,,,,,,,,,,,,,975
burgers,chocolate,frozen vegetables,ground beef,mineral water,milk,light mayo,asparagus,,,,,,,,,,,,,517
chocolate,mineral water,corn,cottage cheese,green tea,,,,,,,,,,,,,,,,282
muffins,,,,,,,,,,,,,,,,,,,,325
ham,french wine,escalope,,,,,,,,,,,,,,,,,,8
spaghetti,milk,whole wheat rice,mint green tea,,,,,,,,,,,,,,,,,556
chocolate,body spray,,,,,,,,,,,,,,,,,,,853
frozen vegetables,french fries,hot dogs,,,,,,,,,,,,,,,,,,41
candy bars,,,,,,,,,,,,,,,,,,,,601
burgers,shrimp,pasta,milk,green tea,french fries,cookies,white wine,,,,,,,,,,,,,111
parmesan cheese,ground beef,,,,,,,,,,,,,,,,,,,587
pancakes,whole wheat rice,candy bars,,,,,,,,,,,,,,,,,,512
eggs,eggplant,cookies,,,,,,,,,,,,,,,,,,562
frozen vegetables,mineral water,,,,,,,,,,,,,,,,,,,784
chocolate,,,,,,,,,,,,,,,,,,,,549
turkey,spaghetti,milk,whole wheat rice,chocolate,,,,,,,,,,,,,,,,512
whole wheat pasta,ground beef,spaghetti,soup,meatballs,chicken,blueberries,cooking oil,champagne,yogurt cake,protein bar,,,,,,,,,,48
cooking oil,tomato juice,,,,,,,,,,,,,,,,,,,359
frozen vegetables,milk,eggs,french fries,green tea,,,,,,,,,,,,,,,,921
fresh tuna,spaghetti,olive oil,french wine,eggs,french fries,champagne,pancakes,light mayo,,,,,,,,,,,,591
red wine,honey,hot dogs,,,,,,,,,,,,,,,,,,970
milk,bacon,eggs,french fries,fresh bread,,,,,,,,,,,,,,,,935
french fries,yogurt cake,,,,,,,,,,,,,,,,,,,641
milk,,,,,,,,,,,,,,,,,,,,668
french fries,,,,,,,,,,,,,,,,,,,,859
chocolate,,,,,,,,,,,,,,,,,,,,739
burgers,ham,red wine,,,,,,,,,,,,,,,,,,18
shrimp,pasta,tomatoes,energy bar,french wine,antioxydant juice,french fries,frozen smoothie,brownies,,,,,,,,,,,,667
green tea,,,,,,,,,,,,,,,,,,,,394
low fat yogurt,,,,,,,,,,,,,,,,,,,,669
turkey,spaghetti,mineral water,soup,spinach,soda,energy drink,salt,,,,,,,,,,,,,106
turkey,eggs,,,,,,,,,,,,,,,,,,,513
bug spray,hot dogs,,,,,,,,,,,,,,,,,,,171
oil,,,,,,,,,,,,,,,,,,,,426
soup,energy bar,chicken,eggs,cake,french fries,body spray,strawberries,,,,,,,,,,,,,566
spaghetti,chocolate,yogurt cake,,,,,,,,,,,,,,,,,,393
turkey,mineral water,meatballs,,,,,,,,,,,,,,,,,,195
ground beef,mineral water,chocolate,fromage blanc,bacon,hot dogs,,,,,,,,,,,,,,,446
frozen vegetables,mineral water,vegetables mix,escalope,,,,,,,,,,,,,,,,,783
herb & pepper,red wine,tomatoes,,,,,,,,,,,,,,,,,,790
whole wheat pasta,olive oil,cereals,brownies,green tea,,,,,,,,,,,,,,,,321
cookies,,,,,,,,,,,,,,,,,,,,790
olive oil,cookies,mushroom cream sauce,,,,,,,,,,,,,,,,,,968
ground beef,pancakes,cooking oil,gluten free bar,light mayo,,,,,,,,,,,,,,,,303
mineral water,french fries,,,,,,,,,,,,,,,,,,,970
herb & pepper,,,,,,,,,,,,,,,,,,,,264
salmon,,,,,,,,,,,,,,,,,,,,441
eggs,escalope,,,,,,,,,,,,,,,,,,,395
mineral water,tomato juice,,,,,,,,,,,,,,,,,,,584
mineral water,,,,,,,,,,,,,,,,,,,,360
shrimp,mineral water,soup,black tea,,,,,,,,,,,,,,,,,409
cake,frozen smoothie,,,,,,,,,,,,,,,,,,,289
turkey,burgers,grated cheese,tomatoes,chocolate,fromage blanc,honey,whole wheat rice,,,,,,,,,,,,,180
frozen vegetables,ground beef,mineral water,olive oil,pancakes,,,,,,,,,,,,,,,,835
turkey,burgers,ground beef,milk,olive oil,cake,fresh bread,,,,,,,,,,,,,,722
whole wheat pasta,ground beef,spaghetti,yams,mineral water,soup,chutney,cereals,energy drink,protein bar,,,,,,,,,,,505
eggs,whole wheat rice,cake,green tea,escalope,,,,,,,,,,,,,,,,300
ground beef,yams,soup,avocado,salmon,green tea,,,,,,,,,,,,,,,592
milk,,,,,,,,,,,,,,,,,,,,796
spaghetti,chocolate,,,,,,,,,,,,,,,,,,,14
whole wheat pasta,honey,,,,,,,,,,,,,,,,,,,218
whole wheat pasta,green tea,,,,,,,,,,,,,,,,,,,48
spaghetti,meatballs,vegetables mix,chocolate,,,,,,,,,,,,,,,,,321
eggs,low fat yogurt,,,,,,,,,,,,,,,,,,,92
fresh tuna,shrimp,pasta,mineral water,olive oil,eggs,cake,brownies,tomato juice,,,,,,,,,,,,39
mineral water,green grapes,hot dogs,fresh bread,,,,,,,,,,,,,,,,,878
frozen vegetables,meatballs,eggs,chocolate,,,,,,,,,,,,,,,,,458
chocolate,,,,,,,,,,,,,,,,,,,,420
meatballs,milk,,,,,,,,,,,,,,,,,,,130
low fat yogurt,,,,,,,,,,,,,,,,,,,,149
green tea,,,,,,,,,,,,,,,,,,,,60
escalope,pasta,,,,,,,,,,,,,,,,,,,119
pepper,chocolate,olive oil,french wine,salmon,rice,light mayo,fresh bread,magazines,,,,,,,,,,,,630
red wine,french wine,vegetables mix,rice,clothes accessories,hot dogs,green tea,,,,,,,,,,,,,,984
burgers,dessert wine,spaghetti,chicken,cake,protein bar,green tea,,,,,,,,,,,,,,916
french wine,cake,fresh bread,,,,,,,,,,,,,,,,,,205
burgers,frozen vegetables,flax seed,eggs,,,,,,,,,,,,,,,,,2
red wine,,,,,,,,,,,,,,,,,,,,773
pepper,mineral water,energy bar,green grapes,,,,,,,,,,,,,,,,,806
milk,eggs,cake,chocolate,french fries,green tea,,,,,,,,,,,,,,,827
french fries,,,,,,,,,,,,,,,,,,,,212
almonds,,,,,,,,,,,,,,,,,,,,824
burgers,mineral water,green tea,,,,,,,,,,,,,,,,,,247
milk,pancakes,,,,,,,,,,,,,,,,,,,582
pancakes,eggs,salt,tomato juice,,,,,,,,,,,,,,,,,452
mineral water,,,,,,,,,,,,,,,,,,,,91
ham,spaghetti,mineral water,olive oil,,,,,,,,,,,,,,,,,773
salt,tomato juice,fresh bread,,,,,,,,,,,,,,,,,,806
spaghetti,mushroom cream sauce,,,,,,,,,,,,,,,,,,,475
spaghetti,mineral water,eggs,pet food,,,,,,,,,,,,,,,,,414
frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,,,688
energy drink,,,,,,,,,,,,,,,,,,,,606
muffins,,,,,,,,,,,,,,,,,,,,586
turkey,milk,,,,,,,,,,,,,,,,,,,567
cookies,,,,,,,,,,,,,,,,,,,,665
chocolate,,,,,,,,,,,,,,,,,,,,346
spaghetti,mineral water,eggs,cooking oil,chocolate,escalope,,,,,,,,,,,,,,,506
shrimp,frozen vegetables,pepper,spaghetti,green tea,,,,,,,,,,,,,,,,196
burgers,fresh tuna,red wine,mineral water,french fries,hand protein bar,low fat yogurt,,,,,,,,,,,,,,421
pancakes,eggs,energy drink,fresh bread,,,,,,,,,,,,,,,,,384
strong cheese,salmon,green tea,french fries,frozen smoothie,hot dogs,,,,,,,,,,,,,,,164
grated cheese,shrimp,pasta,tomatoes,milk,frozen smoothie,sandwich,,,,,,,,,,,,,,781
herb & pepper,whole wheat pasta,olive oil,pancakes,eggs,,,,,,,,,,,,,,,,461
spaghetti,antioxydant juice,,,,,,,,,,,,,,,,,,,129
chocolate,milk,almonds,eggs,strawberries,white wine,,,,,,,,,,,,,,,467
french fries,strawberries,,,,,,,,,,,,,,,,,,,279
mineral water,,,,,,,,,,,,,,,,,,,,193
eggs,,,,,,,,,,,,,,,,,,,,231
escalope,,,,,,,,,,,,,,,,,,,,39
cake,,,,,,,,,,,,,,,,,,,,748
whole wheat pasta,antioxydant juice,body spray,green tea,,,,,,,,,,,,,,,,,52
mineral water,oil,frozen smoothie,,,,,,,,,,,,,,,,,,25
french fries,champagne,,,,,,,,,,,,,,,,,,,959
chocolate,french fries,,,,,,,,,,,,,,,,,,,376
frozen vegetables,spaghetti,eggs,,,,,,,,,,,,,,,,,,347
hot dogs,,,,,,,,,,,,,,,,,,,,510
chocolate,cookies,,,,,,,,,,,,,,,,,,,256
pancakes,,,,,,,,,,,,,,,,,,,,186
shrimp,butter,chicken,salmon,,,,,,,,,,,,,,,,,774
chocolate,cookies,babies food,,,,,,,,,,,,,,,,,,286
pepper,spaghetti,cake,chocolate,french fries,fresh bread,,,,,,,,,,,,,,,320
avocado,oil,cereals,french fries,,,,,,,,,,,,,,,,,231
herb & pepper,spaghetti,mineral water,spinach,eggs,oil,cooking oil,green tea,shampoo,tomato juice,low fat yogurt,,,,,,,,,,946
herb & pepper,frozen vegetables,ground beef,pepper,spaghetti,mint green tea,french fries,,,,,,,,,,,,,,459
french fries,,,,,,,,,,,,,,,,,,,,590
green tea,tomato juice,,,,,,,,,,,,,,,,,,,131
eggs,whole wheat rice,chocolate,,,,,,,,,,,,,,,,,,269
grated cheese,herb & pepper,red wine,spaghetti,mineral water,salmon,eggs,cooking oil,green tea,,,,,,,,,,,,166
french fries,cookies,shallot,tomato juice,fresh bread,low fat yogurt,,,,,,,,,,,,,,,417
burgers,fresh tuna,spaghetti,muffins,honey,,,,,,,,,,,,,,,,301
herb & pepper,ground beef,spaghetti,eggs,chicken,,,,,,,,,,,,,,,,491
grated cheese,muffins,tomato juice,mayonnaise,,,,,,,,,,,,,,,,,388
whole wheat pasta,yams,mineral water,muffins,frozen smoothie,hot dogs,energy drink,,,,,,,,,,,,,,717
burgers,spaghetti,soup,milk,olive oil,salmon,eggs,blueberries,,,,,,,,,,,,,140
chocolate,champagne,magazines,,,,,,,,,,,,,,,,,,926
frozen vegetables,spaghetti,yams,mineral water,french wine,green grapes,rice,chocolate,,,,,,,,,,,,,394
tomato sauce,chocolate,,,,,,,,,,,,,,,,,,,244
milk,eggs,,,,,,,,,,,,,,,,,,,884
pet food,,,,,,,,,,,,,,,,,,,,946
yogurt cake,,,,,,,,,,,,,,,,,,,,927
green tea,,,,,,,,,,,,,,,,,,,,136
escalope,pasta,,,,,,,,,,,,,,,,,,,664
herb & pepper,ground beef,,,,,,,,,,,,,,,,,,,93
mineral water,honey,brownies,,,,,,,,,,,,,,,,,,972
turkey,eggs,cake,energy drink,,,,,,,,,,,,,,,,,999
turkey,burgers,dessert wine,ground beef,soup,salmon,eggs,gums,tomato juice,candy bars,,,,,,,,,,,149
spaghetti,mineral water,chicken,,,,,,,,,,,,,,,,,,858
turkey,ground beef,carrots,french fries,melons,,,,,,,,,,,,,,,,604
mineral water,eggs,low fat yogurt,,,,,,,,,,,,,,,,,,61
turkey,cooking oil,shampoo,,,,,,,,,,,,,,,,,,919
spaghetti,hot dogs,,,,,,,,,,,,,,,,,,,684
chocolate,green tea,,,,,,,,,,,,,,,,,,,153
grated cheese,pepper,mineral water,chocolate,eggs,cake,mashed potato,tomato juice,,,,,,,,,,,,,508
chocolate,,,,,,,,,,,,,,,,,,,,213
spaghetti,olive oil,strong cheese,pancakes,,,,,,,,,,,,,,,,,64
red wine,mineral water,soup,rice,cookies,,,,,,,,,,,,,,,,514
red wine,shrimp,spaghetti,,,,,,,,,,,,,,,,,,679
green tea,,,,,,,,,,,,,,,,,,,,82
mineral water,chicken,french fries,frozen smoothie,,,,,,,,,,,,,,,,,933
muffins,,,,,,,,,,,,,,,,,,,,761
cake,chocolate,,,,,,,,,,,,,,,,,,,935
fresh tuna,tomatoes,mineral water,soup,avocado,meatballs,olive oil,,,,,,,,,,,,,,693
turkey,french fries,,,,,,,,,,,,,,,,,,,583
burgers,turkey,herb & pepper,ground beef,pancakes,eggs,light cream,rice,champagne,fresh bread,,,,,,,,,,,693
escalope,,,,,,,,,,,,,,,,,,,,867
chocolate,escalope,fresh bread,,,,,,,,,,,,,,,,,,581
ham,spaghetti,french wine,vegetables mix,chocolate,french fries,,,,,,,,,,,,,,,180
avocado,light mayo,,,,,,,,,,,,,,,,,,,204
spaghetti,yams,butter,chocolate,,,,,,,,,,,,,,,,,841
energy bar,eggs,french fries,,,,,,,,,,,,,,,,,,382
fresh tuna,barbecue sauce,eggplant,,,,,,,,,,,,,,,,,,822
energy drink,,,,,,,,,,,,,,,,,,,,191
whole wheat rice,french fries,hot dogs,green tea,,,,,,,,,,,,,,,,,451
mineral water,chicken,green tea,,,,,,,,,,,,,,,,,,660
eggs,cake,mushroom cream sauce,,,,,,,,,,,,,,,,,,644
escalope,,,,,,,,,,,,,,,,,,,,973
antioxydant juice,escalope,,,,,,,,,,,,,,,,,,,518
shrimp,spaghetti,french fries,,,,,,,,,,,,,,,,,,979
grated cheese,spaghetti,salmon,tomato juice,,,,,,,,,,,,,,,,,251
spaghetti,green tea,,,,,,,,,,,,,,,,,,,952
champagne,protein bar,,,,,,,,,,,,,,,,,,,580
mineral water,avocado,chocolate,,,,,,,,,,,,,,,,,,852
tomatoes,champagne,green tea,,,,,,,,,,,,,,,,,,503
chicken,french fries,escalope,,,,,,,,,,,,,,,,,,849
frozen vegetables,tomatoes,eggs,green tea,frozen smoothie,light mayo,,,,,,,,,,,,,,,456
ground beef,chicken,cider,green grapes,honey,chocolate,french fries,champagne,frozen smoothie,escalope,,,,,,,,,,,621
french fries,champagne,,,,,,,,,,,,,,,,,,,745
mineral water,soup,,,,,,,,,,,,,,,,,,,394
frozen vegetables,spaghetti,milk,chocolate,babies food,,,,,,,,,,,,,,,,90
honey,whole wheat rice,,,,,,,,,,,,,,,,,,,48
whole wheat rice,chicken,tomato juice,,,,,,,,,,,,,,,,,,675
pancakes,,,,,,,,,,,,,,,,,,,,560
green tea,protein bar,tomato juice,candy bars,,,,,,,,,,,,,,,,,482
french fries,,,,,,,,,,,,,,,,,,,,27
mineral water,,,,,,,,,,,,,,,,,,,,595
escalope,,,,,,,,,,,,,,,,,,,,451
grated cheese,herb & pepper,whole wheat pasta,yams,mineral water,bacon,nonfat milk,spinach,,,,,,,,,,,,,474
spaghetti,milk,,,,,,,,,,,,,,,,,,,171
milk,chocolate,white wine,,,,,,,,,,,,,,,,,,975
sandwich,,,,,,,,,,,,,,,,,,,,727
chocolate,light mayo,,,,,,,,,,,,,,,,,,,613
shrimp,whole wheat pasta,spaghetti,meatballs,chicken,frozen smoothie,tomato juice,,,,,,,,,,,,,,268
red wine,ground beef,spaghetti,mineral water,eggs,,,,,,,,,,,,,,,,987
yams,melons,,,,,,,,,,,,,,,,,,,528
spaghetti,cooking oil,,,,,,,,,,,,,,,,,,,18
french fries,,,,,,,,,,,,,,,,,,,,87
mineral water,milk,spinach,cooking oil,chocolate,frozen smoothie,hot dogs,,,,,,,,,,,,,,867
tomato sauce,milk,,,,,,,,,,,,,,,,,,,271
