ID,Age
522,25
523,54
524,38
525,80
526,24
527,22
528,64
529,21
530,43
531,33
532,77
533,37
534,61
535,38
536,75
537,67
538,79
539,73
540,69
541,24
542,35
543,56
544,42
545,49
546,30
547,43
548,66
549,47
550,48
551,26
552,20
553,19
554,69
555,40
556,58
557,77
558,52
559,60
560,39
561,61
562,60
563,78
564,54
565,19
566,42
567,43
568,49
569,48
570,29
571,34
572,69
573,52
574,58
575,50
576,49
577,19
578,70
579,24
580,21
581,39
582,18
583,56
584,55
585,40
586,72
587,78
588,67
589,44
590,74
591,66
592,19
593,58
594,79
595,67
596,36
597,32
598,41
599,61
600,65
601,41
602,42
603,76
604,65
605,60
606,20
607,40
608,28
609,43
610,43
611,35
612,71
613,65
614,44
615,68
616,76
617,50
618,67
619,29
620,20
621,41
622,41
623,56
624,48
625,37
626,74
627,46
628,25
629,68
630,46
631,53
632,34
633,34
634,37
635,59
636,26
637,65
638,45
639,72
640,44
641,73
642,22
643,48
644,42
645,77
646,78
647,39
648,43
649,63
650,75
651,73
652,43
653,23
654,58
655,25
656,79
657,19
658,80
659,71
660,34
661,51
662,76
663,73
664,47
665,51
666,34
667,76
668,57
669,24
670,58
671,62
672,24
673,65
674,78
675,41
676,55
677,78
678,60
679,44
680,42
681,67
682,77
683,49
684,61
685,62
686,46
687,17
688,58
689,40
690,37
691,31
692,28
693,75
694,34
695,43
696,78
697,24
698,66
699,78
700,32
701,48
702,17
703,72
704,57
705,21
706,43
707,71
708,69
709,30
710,67
711,61
712,29
713,47
714,52
715,59
716,25
717,50
718,32
719,36
720,71
721,30
722,74
723,41
724,71
725,43
726,48
727,74
728,74
729,78
730,22
731,72
732,26
733,53
734,69
735,78
736,70
737,63
738,65
739,77
740,35
741,17
742,37
743,61
744,67
745,54
746,40
747,42
748,77
749,68
750,49
751,59
752,59
753,50
754,56
755,78
756,17
757,54
758,44
759,19
760,70
761,19
762,38
763,45
764,62
765,36
766,30
767,49
768,23
769,67
770,77
771,77
772,53
773,61
774,50
775,19
776,50
777,63
778,19
779,21
780,39
781,56
782,48
783,38
784,33
785,32
786,65
787,56
788,32
789,21
790,65
791,33
792,26
793,50
794,46
795,41
796,74
797,51
798,50
799,30
800,44
801,66
802,23
803,35
804,27
805,65
806,73
807,26
808,68
809,44
810,66
811,79
812,31
813,31
814,69
815,30
816,79
817,43
818,21
819,71
820,42
821,36
822,39
823,76
824,61
825,34
826,51
827,65
828,36
829,17
830,21
831,34
832,28
833,72
834,80
835,70
836,39
837,30
838,72
839,35
840,56
841,26
842,43
843,47
844,53
845,71
846,34
847,18
848,63
849,36
850,78
851,64
852,56
853,47
854,43
855,43
856,31
857,42
858,47
859,22
860,57
861,34
862,60
863,77
864,33
865,73
866,51
867,47
868,69
869,22
870,66
871,59
872,58
873,67
874,20
875,46
876,40
877,41
878,77
879,64
880,69
881,28
882,73
883,74
884,67
885,35
886,20
887,25
888,76
889,66
890,28
891,41
892,49
893,34
894,49
895,54
896,48
897,55
898,20
899,60
900,43
901,80
902,61
903,34
904,18
905,55
906,72
907,23
908,43
909,44
910,74
911,18
912,27
913,67
914,41
915,53
916,55
917,24
918,48
919,72
920,51
921,28
922,23
923,26
924,74
925,63
926,27
927,17
928,67
929,71
930,67
931,67
932,48
933,67
934,71
935,63
936,28
937,73
938,75
939,20
940,52
941,74
942,26
943,22
944,70
945,69
946,64
947,62
948,17
949,74
950,37
951,59
952,76
953,68
954,69
955,80
956,23
957,79
958,20
959,44
960,19
961,19
962,17
963,40
964,35
965,73
966,18
967,69
968,70
969,31
970,78
971,64
972,56
973,27
974,20
975,67
976,53
977,36
978,32
979,78
980,44
981,47
982,39
983,29
984,47
985,27
986,43
987,56
988,25
989,49
990,37
991,57
992,74
993,33
994,23
995,76
996,73
997,37
998,69
999,73
